DATETIME,open,close,high,low
2008-11-14,93.76,90.24,93.99,90.0
2008-11-17,88.48,88.14,90.55,87.26
2008-11-18,89.64,89.91,90.99,86.86
2008-11-19,89.44,86.29,91.58,86.21
2008-11-20,85.24,80.49,86.45,80.0
2008-11-21,81.93,82.58,84.12,79.14
2008-11-24,85.21,92.95,94.79,84.84
2008-11-25,94.63,90.8,94.7099,88.16
2008-11-26,89.92,95.0,95.25,89.85
2008-11-28,94.7,92.67,94.76,91.86
2008-12-01,91.3,88.93,92.27,88.92299999999999
2008-12-02,90.03,92.47,92.65,86.5
2008-12-03,89.4,95.9,96.23,88.8
2008-12-04,94.43,91.41,95.21,89.06
2008-12-05,90.35,94.0,94.49,88.86
2008-12-08,97.28,99.72,100.8,95.8
2008-12-09,98.04,100.06,103.6,97.21
2008-12-10,97.87,98.21,99.49,96.5
2008-12-11,97.35,95.0,101.24,94.83
2008-12-12,92.8,98.27,99.0,92.53
2008-12-15,95.99,94.75,96.21,93.0
2008-12-16,93.98,95.43,96.48,92.75
2008-12-17,91.03,89.16,91.1,88.02
2008-12-18,89.31,89.43,90.83,88.44
2008-12-19,89.9396,90.0,90.94,88.8
2008-12-22,90.02,85.74,90.03,84.69
2008-12-23,86.87,86.38,87.87,85.9
2008-12-24,86.14,85.04,86.25,84.55
2008-12-26,86.64,85.81,87.42,85.24
2008-12-29,86.52,86.61,87.62,85.07
2008-12-30,87.42,86.29,88.05,84.72
2008-12-31,85.97,85.35,87.74,85.34
2009-01-02,85.88,90.75,91.04,85.16
2009-01-05,93.17,94.58,96.18,92.71
2009-01-06,95.95,93.02,97.17,92.39
2009-01-07,91.81,91.01,92.5,90.26
2009-01-08,90.43,92.7,93.15,90.04
2009-01-09,93.21,90.58,93.38,90.14
2009-01-12,90.46,88.66,90.99,87.55
2009-01-13,88.24,87.71,89.7399,86.35
2009-01-14,86.24,85.33,87.25,84.72
2009-01-15,80.57,83.38,84.12,80.05
2009-01-16,84.3,82.33,84.38,80.4
2009-01-20,81.93,78.2,82.0,78.2
2009-01-21,79.39,82.83,82.88,79.31
2009-01-22,88.04,88.36,90.0,85.82
2009-01-23,86.82,88.36,89.87,86.5
2009-01-26,88.86,89.64,90.97,88.3
2009-01-27,90.19,90.73,91.55,89.74
2009-01-28,92.12,94.2,95.0,91.5
2009-01-29,93.09,93.0,94.34,92.6
2009-01-30,92.6,90.13,93.62,90.01
2009-02-02,89.1,91.51,92.0,88.9
2009-02-03,91.92,92.98,93.38,90.28
2009-02-04,93.22,93.55,96.25,93.1
2009-02-05,92.77,96.46,97.25,92.62
2009-02-06,97.02,99.72,100.0,97.0
2009-02-09,100.0,102.51,103.0,99.5
2009-02-10,101.33,97.83,102.51,97.06
2009-02-11,96.37,96.82,98.31,95.77
2009-02-12,95.83,99.27,99.75,95.83
2009-02-13,98.99,99.16,99.94,98.12
2009-02-17,96.87,94.53,97.04,94.28
2009-02-18,95.05,94.37,95.85,92.72
2009-02-19,93.37,90.64,94.25,90.11
2009-02-20,89.4,91.2,92.4,89.0
2009-02-23,91.65,86.95,92.0,86.51
2009-02-24,87.4475,90.25,90.89,87.0
2009-02-25,89.86,91.16,92.92,89.25
2009-02-26,92.0,89.19,92.92,88.96
2009-02-27,87.93,89.31,91.3,87.67
2009-03-02,88.12,87.94,91.2,87.67
2009-03-03,88.93,88.37,90.74,87.88
